aufgeben, gibt auf, gab auf, hat aufgegeben	to give in, give up	aufgeben				Ich habe auf der Post ein Paket aufgegeben.	I gave up a parcel at the post office.	Man darf nie aufgeben. Es gibt immer eine Hoffnung.	One should never give up. There is always hope.		
aufhalten, hält auf, hielt auf, hat aufgehalten	to detain, check, hold/ keep open	aufhalten				Hier können Sie sich aufhalten, bis Sie an der Reihe sind.	Here you can stay until it is your turn.	Darf ich Ihnen die Tür aufhalten?	Can I stop the door for you?	Entschuldigen Sie die Verspätung, ich wurde aufgehalten.	Sorry for the delay, I was stopped.
aufheben, hebt auf, hob auf, hat aufgehoben	to raise, lift, wind up, abolish	aufheben				Lassen Sie die Papiere nur auf dem Boden liegen, ich hebe sie schon auf.	"Just leave the papers on the floor, I'll pick them up."	Die Quittung müssen Sie gut aufheben.	You have to pick up the receipt well.		
aufhören, hört auf, hörte auf, hat aufgehört	to stop	aufhören				Es hört nicht auf zu schneien.	It does not stop snowing.	Wann hört ihr mit der Arbeit auf?	When do you stop working?	Hier hört die Hauptstraße auf.	This is where the main street ends.
auflösen, löst auf, löste auf, hat aufgelöst	to dissolve	auflösen				Die Tablette bitte in Wasser auflösen.	Please dissolve the tablet in water.				
aufmerksam	attentive	aufmerksam				Die Schülerin hörte aufmerksam zu.	The student listened attentively.	Ich mache Sie darauf aufmerksam, dass wir in einer halben Stunde schließen.	I would like to point out that we will close in half an hour.		
aufnehmen, nimmt auf, nahm auf, hat aufgenommen	to receive, pick up, admit, include	aufnehmen				Wir haben Aneta in unseren Verein aufgenommen.	We have added Aneta to our club.	Ich habe den Film im Urlaub aufgenommen.	I recorded the film on vacation.		
die Aufnahme, -n	picture, recording, admission	Aufnahme	die			Bringen Sie bitte Ihre Röntgenaufnahmen zur nächsten Sprechstunde mit.	Please bring your x-rays with you to the next consultation.				
aufpassen, passt auf, passte auf, hat aufgepasst	to be careful	aufpassen				Tut mir leid. Da habe ich wohl nicht aufgepasst.	"I'm sorry. I probably did not pay attention."	Ich muss zu Hause bleiben und auf die Kinder aufpassen.	I have to stay home and take care of the children.		
aufräumen, räumt auf, räumte auf, hat aufgeräumt	to tidy up	aufräumen				Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.	Before my vacation, I have to clean up my desk.				
aufregen, regt auf, regte auf, hat aufgeregt	to excite, to annoy	aufregen (2)				Es regt mich auf, dass ich schon wieder Überstunden machen muss.	It upsets me that I have to work overtime again.	Ruf gleich an, wenn du angekommen bist, sonst regt sich deine Mutter wieder auf.	Call right away when you arrive, otherwise your mother will get upset again.	Ganz ruhig! Bitte regen Sie sich nicht auf.	Very quiet! Please do not get upset.
auf sein, ist auf, war auf, ist auf gewesen	to be up	auf sein				Ich bin schon seit zwei Stunden auf.	"I've been up for two hours."	Du brauchst nicht zu klingeln, die Tür ist auf.	You do not need to ring the bell, the door is open.		
aufstehen, steht auf, stand auf, ist aufgestanden	to get up	aufstehen				Ich stehe jeden Morgen um sechs Uhr auf.	I get up at six every morning.	Sie brauchen nicht aufzustehen. Sie können sitzen bleiben.	You do not need to get up. You can stay seated.	Solange Sie Fieber haben, dürfen Sie auf keinen Fall aufstehen.	As long as you have a fever, you must under no circumstances get up.
"der Auftrag, -""e"	order, commission, mission	Auftrag	der			Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief abgeben.	I am on behalf of Mrs. Müller and should give you this letter.	Im Moment hat die Firma besonders viele Aufträge.	At the moment the company has a lot of orders.		
auftreten, tritt auf, trat auf, ist aufgetreten	occur	auftreten				Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.	Next week a famous music group will appear in the Stadthalle.				
aufwachen, wacht auf, wachte auf, ist aufgewacht	to wake up	aufwachen				Von dem Lärm bin ich aufgewacht.	I woke up from the noise.				
aufwärts	upwards	aufwärts				Sie müssen gut zu Fuß sein. Es geht immer aufwärts.	You have to be good on foot. It always goes up.	In letzter Zeit geht es wieder aufwärts mit der Wirtschaft.	Lately, things are going up again with the economy.		
"der Aufzug, -""e"	lift	Aufzug	der			Der Aufzug ist leider wieder kaputt.	The elevator is unfortunately broken again.				
das Auge, -n	eye	Auge	das			Meine beiden Kinder haben blaue Augen.	My two kids have blue eyes.				
der Augenblick, -e	moment	Augenblick	der			Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen.	I just wanted to park. At that moment, a car has come out of the exit.	Einen Augenblick, bitte!	Just a moment please!		
die Ausbildung, -en	education, training, instruction	Ausbildung	die			Ich habe meine Ausbildung abgeschlossen.	I finished my education.	Mit deiner guten Ausbildung findest du sicher eine Arbeit.	With your good education you will surely find a job.		
"der Ausbildungsplatz, -""e"	training place, apprenticeship	Ausbildungsplatz	der			Mein Neffe sucht nach der Schule einen Ausbildungsplatz als Kfz-Mechaniker.	My nephew is looking for an apprenticeship as a car mechanic after school.				
ausgebildet	educated, trained	ausgebildet				Für diesen Beruf müssen Sie gut ausgebildet sein.	You have to be well-trained for this job.				
