ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Position
231478,Lautaro Martínez,24,Argentina,86,90,Inter,98500000,11000000,ST
231281,Trent Alexander-Arnold,23,England,86,89,Liverpool,86000000,14000000,RB
224232,Nicolò Barella,25,Italy,86,89,Inter,89500000,11000000,CM
223848,Sergej Milinković-Savić,27,Serbia,86,87,Lazio,77500000,9000000,CM
216352,Marcelo Brozović,29,Croatia,86,86,Inter,58000000,11000000,CDM
213345,Kingsley Coman,26,France,86,87,FC Bayern München,80000000,10500000,RM
212218,Aymeric Laporte,28,Spain,86,87,Manchester City,64500000,19500000,CB
212198,Bruno Miguel Borges Fernandes,27,Portugal,86,86,Manchester United,72500000,19000000,CAM
211110,Paulo Dybala,28,Argentina,86,86,Roma,69500000,13000000,CF
209499,Fábio Henrique Tavares,28,Brazil,86,86,Liverpool,59500000,17000000,CDM
202652,Raheem Sterling,27,England,86,86,Chelsea,72500000,19500000,LW
197445,David Alaba,30,Austria,86,86,Real Madrid,55500000,22000000,CB
192505,Romelu Lukaku,29,Belgium,86,86,Inter,68000000,20000000,ST
192387,Ciro Immobile,32,Italy,86,86,Lazio,55000000,10000000,ST
189513,Daniel Parejo Muñoz,33,Spain,86,86,Villarreal,42000000,6400000,CM
189509,Thiago Alcântara,31,Spain,86,86,Liverpool,55500000,18000000,CM
188943,Kevin Trapp,31,Germany,86,86,Eintracht Frankfurt,36000000,4300000,GK
186153,Wojciech Szczęsny,32,Poland,86,86,Juventus,33500000,12500000,GK
177683,Yann Sommer,33,Switzerland,86,86,Borussia Mönchengladbach,22000000,4300000,GK
167948,Hugo Lloris,35,France,86,86,Tottenham Hotspur,7500000,7400000,GK
164240,Thiago Emiliano da Silva,37,Brazil,86,86,Chelsea,12000000,11500000,CB
251854,Pedro González López,19,Spain,85,92,FC Barcelona,104500000,11500000,CM
239053,Federico Valverde,23,Uruguay,85,90,Real Madrid,81000000,19000000,CM
237692,Phil Foden,22,England,85,92,Manchester City,109500000,18000000,LW
235243,Matthijs de Ligt,22,Netherlands,85,89,FC Bayern München,71000000,7700000,CB
232656,Theo Hernández,24,France,85,90,Milan,76000000,8200000,LB
224458,Diogo José Teixeira da Silva,25,Portugal,85,89,Liverpool,76000000,17000000,CF
224334,Marcos Acuña,30,Argentina,85,85,Sevilla,46500000,4600000,LB
216594,Nabil Fekir,28,France,85,85,Real Betis,54500000,4800000,CAM
212190,Niklas Süle,26,Germany,85,87,Borussia Dortmund,59000000,7200000,CB
208574,Filip Kostić,29,Serbia,85,85,Juventus,53000000,16500000,LM
208418,Yannick Carrasco,28,Belgium,85,85,Atlético Madrid,54500000,9000000,LM
208093,Gerard Moreno Balagueró,30,Spain,85,85,Villarreal,53000000,6400000,ST
205498,Luiz Frello Filho Jorge,30,Italy,85,85,Chelsea,51500000,16500000,CM
204485,Riyad Mahrez,31,Algeria,85,85,Manchester City,44500000,20000000,RW
202556,Memphis Depay,28,Netherlands,85,85,FC Barcelona,55000000,23000000,CF
201535,Raphaël Varane,29,France,85,85,Manchester United,45000000,17000000,CB
195864,Paul Pogba,29,France,85,85,Juventus,52500000,16500000,CM
192629,Iago Aspas Juncal,34,Spain,85,85,Celta de Vigo,26000000,5000000,ST
189511,Sergio Busquets Burgos,33,Spain,85,85,FC Barcelona,26500000,19000000,CDM
189332,Jordi Alba Ramos,33,Spain,85,85,FC Barcelona,28000000,19000000,LB
188567,Pierre-Emerick Aubameyang,33,Gabon,85,85,Chelsea,34500000,18000000,ST
188377,Kyle Walker,32,England,85,85,Manchester City,37500000,17000000,RB
188350,Marco Reus,33,Germany,85,85,Borussia Dortmund,33500000,7800000,CAM
186942,İlkay Gündoğan,31,Germany,85,85,Manchester City,44000000,18500000,CM
185122,Péter Gulácsi,32,Hungary,85,85,RB Leipzig,26500000,6500000,GK
252371,Jude Bellingham,19,England,84,91,Borussia Dortmund,81500000,4100000,CM
246430,Dušan Vlahović,22,Serbia,84,91,Juventus,86500000,14000000,ST
241852,Moussa Diaby,22,France,84,88,Bayer 04 Leverkusen,61500000,7000000,RM
241721,Rafael da Conceição Leão,23,Portugal,84,90,Milan,66500000,9000000,LW
241486,Jules Koundé,23,France,84,89,FC Barcelona,57500000,15000000,CB
241096,Sandro Tonali,22,Italy,84,90,Milan,62500000,7500000,CDM
241084,Luis Díaz,25,Colombia,84,87,Liverpool,56000000,15500000,LW
240130,Éder Gabriel Militão,24,Brazil,84,89,Real Madrid,57500000,16000000,CB
238074,Reece James,22,England,84,88,Chelsea,57000000,12000000,RWB
237383,Alessandro Bastoni,23,Italy,84,90,Inter,60500000,7500000,CB
235805,Federico Chiesa,24,Italy,84,87,Juventus,57500000,14000000,LW
235790,Kai Havertz,23,Germany,84,91,Chelsea,84500000,13000000,CAM
235212,Achraf Hakimi,23,Morocco,84,87,Paris Saint Germain,53500000,9000000,RB
235073,Gregor Kobel,24,Switzerland,84,88,Borussia Dortmund,48000000,4400000,GK
234396,Alphonso Davies,21,Canada,84,89,FC Bayern München,60500000,5900000,LB
234378,Declan Rice,23,England,84,87,West Ham United,52000000,8300000,CDM
234236,Patrik Schick,26,Czech Republic,84,86,Bayer 04 Leverkusen,53000000,8800000,ST
233064,Mason Mount,23,England,84,87,Chelsea,57500000,13000000,CAM
232756,Fikayo Tomori,24,England,84,90,Milan,60500000,7500000,CB
230938,Franck Yannick Kessié,25,Côte d'Ivoire,84,86,FC Barcelona,47500000,16500000,CDM
230666,Gabriel Fernando de Jesus,25,Brazil,84,86,Arsenal,53500000,13000000,ST
230142,Mikel Oyarzabal Ugarte,25,Spain,84,86,Real Sociedad,53000000,5700000,LW
228251,Lorenzo Pellegrini,26,Italy,84,87,Roma,55000000,9500000,CAM
226161,Marcos Llorente Moreno,27,Spain,84,85,Atlético Madrid,48000000,8100000,CM
222665,Martin Ødegaard,23,Norway,84,89,Arsenal,63500000,10500000,CAM
222492,Leroy Sané,26,Germany,84,85,FC Bayern München,49500000,9000000,LM
220814,Lucas Hernández,26,France,84,86,FC Bayern München,46000000,8200000,CB
220697,James Maddison,25,England,84,86,Leicester City,53000000,11500000,RM
216393,Youri Tielemans,25,Belgium,84,86,Leicester City,52500000,11500000,CM
213648,Pierre-Emile Højbjerg,26,Denmark,84,86,Tottenham Hotspur,47000000,12000000,CDM
212616,Rodrigo Javier De Paul,28,Argentina,84,84,Atlético Madrid,42000000,8500000,CM
210935,Domenico Berardi,27,Italy,84,84,Sassuolo,45000000,5700000,RM
209989,Thomas Partey,29,Ghana,84,84,Arsenal,36000000,11500000,CDM
209981,Yassine Bounou,31,Morocco,84,84,Sevilla,22500000,3400000,GK
208830,Jamie Vardy,35,England,84,84,Leicester City,18000000,10000000,ST
208128,Hakan Çalhanoğlu,28,Turkey,84,84,Inter,42000000,10000000,CM
207410,Mateo Kovačić,28,Croatia,84,84,Chelsea,42000000,15500000,CM
206517,Jack Grealish,26,England,84,84,Manchester City,46000000,18500000,LW
206113,Serge Gnabry,26,Germany,84,84,FC Bayern München,46000000,9000000,RM
204963,Daniel Carvajal Ramos,30,Spain,84,84,Real Madrid,36500000,18500000,RB
204639,Stefan Savić,31,Montenegro,84,84,Atlético Madrid,29000000,7400000,CB
202811,Emiliano Martínez,29,Argentina,84,84,Aston Villa,29000000,9500000,GK
199451,Wissam Ben Yedder,31,France,84,84,Monaco,35500000,8800000,ST
198219,Lorenzo Insigne,31,Italy,84,84,Toronto,35000000,1900000,LW
198176,Stefan de Vrij,30,Netherlands,84,84,Inter,34500000,8800000,CB
197061,Joel Matip,30,Cameroon,84,84,Liverpool,34500000,14000000,CB
192984,Koen Casteels,30,Belgium,84,85,VfL Wolfsburg,31500000,5500000,GK
190286,Sergio Canales Madrazo,31,Spain,84,84,Real Betis,35000000,4200000,RM
189575,Iker Muniain Goñi,29,Spain,84,84,Athletic Club,41500000,4900000,LM
186345,Kieran Trippier,31,England,84,84,Newcastle United,30500000,12000000,RB
183898,Ángel Di María,34,Argentina,84,84,Juventus,20000000,16000000,RW
183277,Eden Hazard,31,Belgium,84,84,Real Madrid,35000000,22000000,LW
180930,Edin Džeko,36,Bosnia and Herzegovina,84,84,Inter,14500000,8000000,ST
178603,Mats Hummels,33,Germany,84,84,Borussia Dortmund,20000000,6600000,CB
176580,Luis Suárez,35,Uruguay,84,84,Nacional,18000000,100000,ST
175943,Dries Mertens,35,Belgium,84,84,Galatasaray,18000000,8600000,CF
155862,Sergio Ramos García,36,Spain,84,84,Paris Saint Germain,7500000,7500000,CB
143076,Alejandro Gómez,34,Argentina,84,84,Sevilla,20000000,4700000,CAM
138956,Giorgio Chiellini,37,Italy,84,84,Los Angeles FC,7500000,1100000,CB
256790,Jamal Musiala,19,Germany,83,91,FC Bayern München,78500000,4600000,CAM
253163,Ronald Araujo,23,Uruguay,83,89,FC Barcelona,52000000,13500000,CB
247851,Bruno Guimarães Moura,24,Brazil,83,87,Newcastle United,52000000,10500000,CM
246669,Bukayo Saka,20,England,83,90,Arsenal,72000000,8300000,RM
242516,Cody Gakpo,23,Netherlands,83,87,PSV,52000000,2900000,LW
242444,João Félix Sequeira,22,Portugal,83,89,Atlético Madrid,59000000,7100000,CF
241637,Aurélien Tchouaméni,22,France,83,89,Real Madrid,53500000,14500000,CDM
241464,Pau Francisco Torres,25,Spain,83,89,Villarreal,50500000,4300000,CB
239580,Gleison Bremer Silva Nascimento,25,Brazil,83,87,Juventus,45500000,11500000,CB
234153,Carlos Soler Barragán,25,Spain,83,88,Paris Saint Germain,53000000,10000000,CM
233419,Raphael Dias Belloli,25,Brazil,83,86,FC Barcelona,48000000,18000000,RW
233049,Jadon Sancho,22,England,83,87,Manchester United,53000000,14000000,LW
232488,Cristian Romero,24,Argentina,83,88,Tottenham Hotspur,49500000,9500000,CB
232293,Victor Osimhen,23,Nigeria,83,89,Napoli,58000000,7200000,ST
231443,Ousmane Dembélé,25,France,83,86,FC Barcelona,48000000,18000000,RW
230869,Unai Simón Mendibil,25,Spain,83,86,Athletic Club,37000000,3000000,GK
230481,Ronaldo Jailson Cabrais Petri,30,Brazil,83,83,Palmeiras,35000000,5900000,CAM
228618,Ferland Mendy,27,France,83,84,Real Madrid,38000000,17000000,LB
226790,Wilfred Ndidi,25,Nigeria,83,85,Leicester City,41000000,9500000,CDM
226271,Fabián Ruiz Peña,26,Spain,83,85,Paris Saint Germain,44500000,10500000,CM
225850,Presnel Kimpembe,26,France,83,86,Paris Saint Germain,42000000,9500000,CB
225375,Konrad Laimer,25,Austria,83,84,RB Leipzig,38500000,6400000,CDM
225193,Mikel Merino Zazón,26,Spain,83,86,Real Sociedad,47000000,4900000,CM
224293,Rúben Diogo da Silva Neves,25,Portugal,83,86,Wolverhampton Wanderers,47500000,10500000,CM
220834,Marco Asensio Willemsen,26,Spain,83,84,Real Madrid,43000000,20000000,RW
220651,José Ángel Esmoris Tasende,25,Spain,83,85,TSG Hoffenheim,42000000,6400000,LWB
219693,Diego Carlos Santos Silva,29,Brazil,83,83,Aston Villa,30500000,10500000,CB
216460,José María Giménez,27,Uruguay,83,85,Atlético Madrid,38500000,6800000,CB
215333,Duván Zapata,31,Colombia,83,83,Atalanta,30500000,7700000,ST
214997,Ángel Correa,27,Argentina,83,84,Atlético Madrid,42500000,8000000,ST
213565,Thomas Lemar,26,France,83,84,Atlético Madrid,42500000,7400000,CM
210406,Piotr Zieliński,28,Poland,83,83,Napoli,36500000,7800000,CAM
210315,Raúl De Tomás Gómez,27,Spain,83,83,Rayo Vallecano,39500000,3700000,ST
208670,Hakim Ziyech,29,Morocco,83,83,Chelsea,35500000,15500000,RW
203574,John Stones,28,England,83,84,Manchester City,34500000,15000000,CB
201942,Roberto Firmino Barbosa de Oliveira,30,Brazil,83,83,Liverpool,35500000,15000000,CF
199434,Dušan Tadić,33,Serbia,83,83,Ajax,22500000,3000000,LW
198706,Luis Alberto Romero Alconchel,29,Spain,83,83,Lazio,35500000,7400000,CM
194765,Antoine Griezmann,31,France,83,83,Atlético Madrid,30500000,8000000,ST
193747,Jorge Resurrección,30,Spain,83,83,Atlético Madrid,34500000,7400000,CM
193698,Oliver Baumann,32,Germany,83,83,TSG Hoffenheim,18000000,4000000,GK
190460,Christian Eriksen,30,Denmark,83,83,Manchester United,34500000,14500000,CM
184344,Leonardo Bonucci,35,Italy,83,83,Juventus,9500000,8700000,CB
184134,Fernando Reges Mouta,34,Brazil,83,83,Sevilla,12500000,3900000,CDM
181458,Ivan Perišić,33,Croatia,83,83,Tottenham Hotspur,22500000,12000000,LM
168542,David Josué Jiménez Silva,36,Spain,83,83,Real Sociedad,12000000,3700000,CAM
163587,Kasper Schmeichel,35,Denmark,83,83,Nice,4000000,3100000,GK
162835,Samir Handanovič,37,Slovenia,83,83,Inter,4000000,4200000,GK
146536,Jesús Navas González,36,Spain,83,83,Sevilla,8000000,2800000,RB
256630,Florian Wirtz,19,Germany,82,91,Bayer 04 Leverkusen,66000000,3800000,CAM
255475,Antony Matheus dos Santos,22,Brazil,82,88,Manchester United,49000000,13000000,RW
253072,Darwin Núñez,23,Uruguay,82,89,Liverpool,61500000,12000000,ST
247819,Nico Schlotterbeck,22,Germany,82,88,Borussia Dortmund,44500000,4700000,CB
244260,Daniel Olmo Carvajal,24,Spain,82,87,RB Leipzig,46000000,5900000,CAM
241461,Ferran Torres García,22,Spain,82,88,FC Barcelona,49000000,15000000,LW
239301,Lisandro Martínez,24,Argentina,82,87,Manchester United,41500000,10500000,CB
236401,Noussair Mazraoui,24,Morocco,82,86,FC Bayern München,40500000,5900000,RB
236276,Arnaut Danjuma,25,Netherlands,82,83,Villarreal,37000000,4700000,ST
233934,Aaron Ramsdale,24,England,82,86,Arsenal,34500000,6200000,GK
233927,Lucas Tolentino Coelho de Lima,24,Brazil,82,87,West Ham United,46000000,7700000,CAM
233096,Denzel Dumfries,26,Netherlands,82,84,Inter,34500000,7300000,RWB
232730,Daichi Kamada,25,Japan,82,84,Eintracht Frankfurt,38000000,4000000,CAM
231969,Ruslan Malinovskyi,29,Ukraine,82,82,Atalanta,30500000,7300000,CF
231352,Tammy Abraham,24,England,82,86,Roma,44000000,7700000,ST
230375,Josué Durval Chiamulera Vaz,30,Brazil,82,82,Athletico PR,25000000,2300000,CB
230182,Lucas Luciano Mantela Patrício,22,Brazil,82,82,Palmeiras,27000000,3300000,GK
229984,Ben Chilwell,25,England,82,85,Chelsea,37000000,11000000,LWB
229558,Dayot Upamecano,23,France,82,87,FC Bayern München,41500000,5900000,CB
228941,André Miguel Valente da Silva,26,Portugal,82,83,RB Leipzig,36500000,7300000,ST
227796,Christian Pulisic,23,United States,82,88,Chelsea,48000000,12000000,LW
227127,Alejandro Remiro Gargallo,27,Spain,82,84,Real Sociedad,28000000,3400000,GK
226754,Ismaël Bennacer,24,Algeria,82,86,Milan,40000000,6300000,CDM
226753,André Onana,26,Cameroon,82,85,Inter,30500000,5900000,GK
226221,Aritz Elustondo,28,Spain,82,83,Real Sociedad,29000000,4300000,CB
224411,Gonçalo Manuel Ganchinho Guedes,25,Portugal,82,85,Wolverhampton Wanderers,41000000,10500000,ST
224179,Borja Iglesias Quintás,29,Spain,82,82,Real Betis,30500000,3900000,ST
223952,David Soria Solís,29,Spain,82,82,Getafe,21000000,3200000,GK
223697,Robin Gosens,27,Germany,82,82,Inter,29500000,5900000,LWB
222077,Manuel Locatelli,24,Italy,82,86,Juventus,40000000,3700000,CDM
217870,Giovanni Di Lorenzo,28,Italy,82,82,Napoli,27500000,6600000,RB
216547,Rafael A. Ferreira Silva,29,Portugal,82,82,Benfica,30500000,2400000,CF
216354,Andrej Kramarić,31,Croatia,82,82,TSG Hoffenheim,25500000,5400000,CF
215316,Gerónimo Rulli,30,Argentina,82,82,Villarreal,20500000,3400000,GK
213661,Andreas Christensen,26,Denmark,82,86,FC Barcelona,37500000,14500000,CB
212523,Anderson Souza Conceição,28,Brazil,82,82,Al Nassr,31000000,6400000,CF
212194,Julian Brandt,26,Germany,82,85,Borussia Dortmund,40000000,6000000,CAM
212188,Timo Werner,26,Germany,82,84,RB Leipzig,38000000,7300000,ST
211688,José Luís Gayà Peña,27,Spain,82,83,Valencia,32000000,4400000,LB
210411,Otávio Edmilson da Silva Monteiro,27,Portugal,82,82,Porto,32500000,2100000,RM
210243,Ricardo Barbosa Pereira,28,Portugal,82,82,Leicester City,27500000,10000000,RB
210035,Alejandro Grimaldo García,26,Spain,82,83,Benfica,33000000,1900000,LB
209889,Raphaël Guerreiro,28,Portugal,82,82,Borussia Dortmund,27500000,5700000,LB
207862,Matthias Ginter,28,Germany,82,83,SC Freiburg,29000000,4000000,CB
205693,Sébastien Haller,28,Côte d'Ivoire,82,82,Borussia Dortmund,31000000,6800000,ST
204935,Jordan Pickford,28,England,82,84,Everton,26000000,4500000,GK
204638,Willi Orban,29,Hungary,82,82,RB Leipzig,25500000,6500000,CB
204525,Iñigo Martínez Berridi,31,Spain,82,82,Athletic Club,21000000,3500000,CB
203841,Nick Pope,30,England,82,82,Newcastle United,20500000,8100000,GK
202884,Leonardo Spinazzola,29,Italy,82,82,Roma,27000000,7700000,LWB
202648,Sergi Darder Moll,28,Spain,82,82,Espanyol,30500000,3000000,CM
201455,Geoffrey Kondogbia,29,Central African Republic,82,82,Atlético Madrid,29500000,7100000,CM
201305,Gabriel Armando de Abreu,31,Brazil,82,82,Valencia,21000000,4400000,CB
200724,José Ignacio Fernández Iglesias,32,Spain,82,82,Real Madrid,20000000,15500000,CB
200458,Lucas Digne,28,France,82,82,Aston Villa,27500000,10000000,LB
200260,Steven Berghuis,30,Netherlands,82,82,Ajax,29500000,2500000,CAM
199845,Francesco Acerbi,34,Italy,82,82,Inter,10000000,5900000,CB
199482,Anthony Lopes,31,Portugal,82,82,Olympique Lyonnais,16000000,6000000,GK
199110,Luis Muriel,31,Colombia,82,82,Atalanta,25500000,7000000,ST
198717,Wilfried Zaha,29,Côte d'Ivoire,82,82,Crystal Palace,30000000,8500000,LW
197781,Francisco Román Alarcón Suárez,30,Spain,82,82,Sevilla,29500000,3900000,CAM
197655,Sebastián Coates,31,Uruguay,82,82,Sporting CP,21000000,1900000,CB
193474,Idrissa Gueye,32,Senegal,82,82,Everton,20500000,5300000,CDM
193301,Alexandre Lacazette,31,France,82,82,Olympique Lyonnais,25500000,8800000,ST
193082,Juan Cuadrado,34,Colombia,82,82,Juventus,11000000,11000000,RB
192318,Mario Götze,30,Germany,82,82,Eintracht Frankfurt,29500000,4100000,CAM
190941,Lukáš Hrádecký,32,Finland,82,82,Bayer 04 Leverkusen,15000000,5000000,GK
189881,Chris Smalling,32,England,82,82,Roma,20000000,7300000,CB
184432,César Azpilicueta Tanco,32,Spain,82,82,Chelsea,20000000,11500000,CB
184200,Marko Arnautović,33,Austria,82,82,Bologna,19500000,5100000,ST
184087,Toby Alderweireld,33,Belgium,82,82,Antwerp,14500000,3000000,CB
183711,Jordan Henderson,32,England,82,82,Liverpool,24000000,12500000,CM
183512,Yuri Berchiche Izeta,32,Spain,82,82,Athletic Club,21000000,3500000,LB
179645,Simon Kjær,33,Denmark,82,82,Milan,14500000,7300000,CB
178509,Olivier Giroud,35,France,82,82,Milan,13000000,6600000,ST
168651,Ivan Rakitić,34,Croatia,82,82,Sevilla,14000000,3900000,CM
157481,Raúl Albiol Tortajada,36,Spain,82,82,Villarreal,5500000,3000000,CB
251517,Joško Gvardiol,20,Croatia,81,89,RB Leipzig,53000000,4100000,CB
247394,Dejan Kulusevski,22,Sweden,81,86,Tottenham Hotspur,39500000,10500000,RW
247263,Edmond Tapsoba,23,Burkina Faso,81,86,Bayer 04 Leverkusen,35000000,4900000,CB
243812,Rodrygo Silva de Goes,21,Brazil,81,88,Real Madrid,52500000,13000000,RW
243576,Pedro Antonio Porro Sauceda,22,Spain,81,87,Sporting CP,38500000,1500000,RWB
241788,Mehdi Taremi,29,Iran,81,81,Porto,25500000,2200000,ST
240950,Pedro António Pereira Gonçalves,24,Portugal,81,86,Sporting CP,39000000,1900000,LW
240243,Matheus Santos Carneiro Da Cunha,23,Brazil,81,86,Atlético Madrid,39500000,6000000,ST
239231,Marc Cucurella Saseta,23,Spain,81,85,Chelsea,34500000,9000000,LB
238067,Nicolò Zaniolo,22,Italy,81,88,Roma,53000000,7100000,CF
237678,Ibrahima Konaté,23,France,81,88,Liverpool,48000000,9000000,CB
236792,Tomáš Souček,27,Czech Republic,81,82,West Ham United,26500000,7500000,CDM
236791,Antonín Barák,27,Czech Republic,81,81,Fiorentina,28000000,4100000,CF
236786,Martin Terrier,25,France,81,84,Rennes,34000000,6100000,LW
236403,Evan Ndicka,22,France,81,85,Eintracht Frankfurt,34000000,3000000,CB
235173,Ibrahim Sangaré,24,Côte d'Ivoire,81,86,PSV,35500000,2000000,CDM
233486,Robin Le Normand,25,France,81,86,Real Sociedad,34000000,3600000,CB
232580,Gabriel dos S. Magalhães,24,Brazil,81,86,Arsenal,35000000,7400000,CB
231943,Richarlison de Andrade,25,Brazil,81,84,Tottenham Hotspur,34500000,10500000,ST
231677,Marcus Rashford,24,England,81,85,Manchester United,37500000,12000000,ST
230430,Marvin Oswaldo Rangel Azevedo,30,Brazil,81,81,Flamengo,25500000,5400000,ST
230384,Nailton Suzuki Ito,26,Brazil,81,81,Atlético Mineiro,28000000,4700000,CAM
230347,Welington Kauê Dano Nascimento,22,Brazil,81,81,Atlético Mineiro,27500000,3700000,LB
230294,Louri Adriano Bisesi Barbosa,30,Brazil,81,81,Bragantino,25500000,2700000,ST
230258,Rosival Jailson Dourado Santos,22,Brazil,81,81,Corinthians,27000000,3100000,CDM
230256,Adryan Juliano Zonta Torres,30,Brazil,81,81,Bragantino,22000000,2300000,LWB
230225,Juan Heberto Mestres de Mesquita,26,Brazil,81,81,Atlético Mineiro,24500000,4300000,CB
229582,Gianluca Mancini,26,Italy,81,83,Roma,28000000,6800000,CB
229391,João Maria Palhinha Gonçalves,26,Portugal,81,83,Fulham,28500000,6600000,CDM
229261,Denis Zakaria,25,Switzerland,81,86,Chelsea,34500000,9500000,CDM
229237,Manuel Akanji,26,Switzerland,81,82,Manchester City,26500000,12000000,CB
227535,Rodrigo Bentancur,25,Uruguay,81,85,Tottenham Hotspur,35500000,9500000,CM
227236,André-Franck Zambo Anguissa,26,Cameroon,81,83,Napoli,28500000,5800000,CDM
226491,Kieran Tierney,25,Scotland,81,85,Arsenal,33000000,8200000,LB
226226,Giovani Lo Celso,26,Argentina,81,84,Villarreal,33500000,10000000,CAM
225953,Steven Bergwijn,24,Netherlands,81,84,Ajax,35000000,2200000,LW
225659,Guido Rodríguez,27,Argentina,81,82,Real Betis,26500000,3000000,CDM
225100,Joe Gomez,25,England,81,86,Liverpool,34000000,10000000,CB
224081,Kalvin Phillips,26,England,81,85,Manchester City,32000000,12000000,CDM
223959,Lucas Torreira,26,Uruguay,81,83,Galatasaray,28500000,7300000,CDM
223273,Mario Pašalić,27,Croatia,81,81,Atalanta,27500000,6000000,CAM
221992,Hirving Lozano,26,Mexico,81,81,Napoli,28000000,6900000,RW
219683,Corentin Tolisso,27,France,81,81,Olympique Lyonnais,27500000,7500000,CM
216435,Stanislav Lobotka,27,Slovakia,81,82,Napoli,29500000,6400000,CM
216409,Matteo Politano,28,Italy,81,81,Napoli,26000000,7200000,RW
216388,Allan Saint-Maximin,25,France,81,83,Newcastle United,32500000,9500000,LM
216320,Seko Fofana,27,Côte d'Ivoire,81,81,Lens,27500000,4300000,CM
216201,Iñaki Williams Arthuer,28,Ghana,81,81,Athletic Club,26500000,4000000,ST
214979,Juan Musso,28,Argentina,81,82,Atalanta,20500000,4700000,GK
214097,Benjamin Bourigeaud,28,France,81,81,Rennes,26000000,6600000,RW
214047,Mateus Uribe,31,Colombia,81,81,Porto,21000000,1900000,CM
213516,Ricardo Jorge da Luz Horta,27,Portugal,81,81,Sporting Braga,28000000,2300000,CF
213331,Jonathan Tah,26,Germany,81,83,Bayer 04 Leverkusen,28000000,5700000,CB
